alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
5.5,69.084,35.298,0.1713,0.2036,-3.6522,0.0757,0.1784,0.8225,0.4248,0.1429,0.1011,-40.1058,50.3898,0.0959,0.4577,1.826,37.3554,36.8756,0,0.053,0.2271,0.3886,Suger_Beets
7.6196,72.8089,39.8519,0.1804,0.2388,-11.6503,0.1519,0.1684,0.8693,0.3239,0.1332,0.0925,-48.6563,61.3654,0.12,0.5591,3.0281,29.6399,29.4883,0,0.0648,0.1342,0.3506,Suger_Beets
3.7565,72.8794,43.8113,0.195,0.1569,-23.9625,0.1121,0.2055,0.9121,0.2909,0.1495,0.1007,-49.54,83.9326,0.1472,0.4744,-5.0009,-29.2862,-21.1057,0,0.0347,0.0253,0.481,Suger_Beets
10.2362,51.8413,41.2118,0.0582,0.2239,-37.7757,0.1606,0.2336,0.8893,0.3437,0.1351,0.1202,-43.2871,41.7788,0.1689,0.6181,0.9936,39.0844,-40.6728,0,0.0224,0.0958,0.4809,Suger_Beets
4.9014,21.8595,38.1029,0.0323,0.4727,-22.7906,0.1107,0.2198,0.8655,0.3895,0.1344,0.126,-16.3964,-29.0439,0.0994,0.8031,-2.027,42.1072,-40.1622,0,0.0293,0.1551,0.4654,Suger_Beets
8.4091,49.141,36.8629,0.0884,0.1647,5.5722,0.1071,0.2321,0.8332,0.4634,0.1488,0.1246,31.9271,54.3943,0.0925,0.5039,-2.0673,40.3752,-35.9973,0.0025,0.1343,0.3129,0.2872,Suger_Beets
5.9096,71.1736,35.9046,0.0859,0.3298,-25.1148,0.1826,0.2356,0.8277,0.502,0.1575,0.1325,53.216,51.4862,0.1163,0.748,2.3335,-39.3694,-41.1594,0,0.1154,0.2775,0.3991,Suger_Beets
3.5317,41.875,34.8241,0.1084,0.4423,17.2658,0.18,0.3718,0.8214,0.5717,0.1792,0.1441,82.4909,63.2818,0.0952,0.9941,-2.448,42.1116,41.2177,0,0.1313,0.307,0.4567,Suger_Beets
8.2683,71.4684,35.8319,0.1874,0.4478,4.0283,0.1674,0.4478,0.8107,0.5807,0.19,0.13,38.6861,-21.9858,0.2042,1.063,2.7119,-31.1255,40.1423,0,0.0257,0.2027,0.6723,Suger_Beets
11.3129,62.2153,35.9588,0.1437,0.4669,34.3078,0.2751,0.2422,0.7952,0.5456,0.1609,0.1205,22.6804,0.7314,0.2323,0.9843,2.753,-32.2707,39.7794,0,0.0141,0.1998,0.6131,Suger_Beets
11.1603,75.261,41.0616,0.2236,0.1907,82.875,0.13,0.2206,0.8747,0.2903,0.1287,0.0817,35.1412,-35.0283,0.1606,0.5413,-0.7352,-21.1901,42.8155,0.0634,0.0031,0.0867,0.3474,Suger_Beets
12.6614,78.4729,40.0585,0.366,0.275,-1.6135,0.0602,0.1746,0.8403,0.3126,0.1425,0.0662,53.3241,-50.646,0.2095,0.5098,-2.1812,-4.7619,9.9909,0.0367,0.0462,0.1864,0.252,Suger_Beets
7.3251,84.0957,35.3326,0.3283,0.2578,26.8058,0.0876,0.1722,0.8048,0.3654,0.137,0.0693,33.3879,-23.6567,0.1517,0.5177,-0.5263,15.205,-16.9304,0.0252,0.0386,0.2233,0.2846,Suger_Beets
3.5558,81.974,33.3225,0.1606,0.2908,7.8533,0.1362,0.2384,0.809,0.4405,0.1392,0.1007,10.6576,-34.4374,0.0666,0.6654,0.5504,39.4188,-31.0655,0.0215,0.0081,0.2296,0.4213,Suger_Beets
5.9157,84.6768,33.5002,0.1071,0.4188,8.6156,0.1176,0.3967,0.7958,0.4641,0.1321,0.1066,-47.9187,78.7762,0.0946,0.9331,-1.1587,35.1089,5.8082,0.0135,0.0858,0.3194,0.2841,Suger_Beets
5.8562,69.1313,33.4881,0.1307,0.2751,-27.0647,0.0852,0.2244,0.7939,0.4351,0.1261,0.0969,-76.5255,49.2349,0.1239,0.5846,-1.3632,-42.2901,-40.0861,0.0085,0.0947,0.3119,0.243,Suger_Beets
9.0579,45.7698,37.5801,0.1897,0.225,-11.7174,0.0919,0.2815,0.8278,0.3614,0.1266,0.0862,-62.0855,-79.8601,0.2296,0.5984,-2.5749,42.1116,22.7865,0,0.0375,0.1599,0.3769,Suger_Beets
7.9624,84.4524,40.7599,0.1559,0.2363,-17.9691,0.1277,0.2049,0.8751,0.3345,0.1372,0.1002,-63.2718,52.5373,0.2111,0.5689,3.6706,7.0766,-8.98,0,0.0059,0.0505,0.5156,Suger_Beets
12.4777,65.0873,41.5142,0.1041,0.1929,-14.5603,0.137,0.2055,0.884,0.3594,0.1449,0.1176,-59.1264,67.4794,0.2161,0.5354,-1.0633,33.0901,-32.9189,0,0.0388,0.1159,0.4672,Suger_Beets
5.9068,14.8154,42.169,0.2723,0.145,-24.201,0.0652,0.1422,0.8701,0.1805,0.0832,0.0476,67.6505,24.9846,0.1818,0.3524,7.0355,-37.3198,-41.8072,0.029,0.0466,0.1201,0.1155,Barley
16.3169,22.5331,42.0639,0.3421,0.1534,-33.6901,0.0642,0.0787,0.8568,0.1933,0.092,0.0451,-81.6382,9.5385,0.2243,0.2963,-2.5401,36.4479,-37.7401,0.0341,0.0328,0.1201,0.1434,Barley
18.8045,45.6053,42.9231,0.3598,0.1063,-30.3432,0.0643,0.1434,0.8504,0.193,0.0913,0.043,-66.1828,39.5464,0.2729,0.314,4.8617,-30.5578,-36.878,0.0309,0.0292,0.1157,0.1515,Barley
19.6256,51.4526,43.2962,0.2637,0.105,-34.0609,0.041,0.1896,0.8625,0.177,0.078,0.0455,-66.4079,54.1077,0.2708,0.3356,3.5502,-28.1037,-37.4281,0.0286,0.033,0.1107,0.1282,Barley
21.5552,49.8459,41.2194,0.2799,0.1099,-57.8628,0.0368,0.0812,0.8132,0.1971,0.0722,0.0406,-80.2801,75.5099,0.3373,0.2279,0.9018,-27.6698,-35.2789,0.0313,0.0248,0.1362,0.1176,Barley
21.9639,36.0283,39.6912,0.2327,0.15,-42.2737,0.0339,0.135,0.772,0.1915,0.0571,0.0355,-85.2649,79.4814,0.4107,0.3189,-2.1486,31.0274,-36.2843,0.0222,0.0249,0.1424,0.0945,Barley
3.4088,38.7396,38.03,0.3947,0.1202,-42.5805,0.05,0.132,0.8119,0.2303,0.0965,0.0419,8.603,44.3504,0.1956,0.3022,6.0097,-37.5545,-42.0828,0.0335,0.0371,0.1594,0.1388,Barley
4.0505,71.7868,34.0299,0.262,0.1136,10.6849,0.0389,0.1074,0.7888,0.2232,0.073,0.0427,41.0862,79.6473,0.1346,0.2598,3.4724,-34.8323,-25.5195,0.0281,0.0452,0.1778,0.0877,Barley
5.4157,62.6927,36.7177,0.3043,0.147,4.6199,0.0429,0.2137,0.8099,0.2219,0.0825,0.044,9.4744,53.6401,0.1491,0.4035,4.7453,-34.8282,-39.5218,0.0301,0.0614,0.1805,0.0765,Barley
12.0144,56.5412,38.9692,0.3396,0.1358,-50.1944,0.0575,0.1384,0.8174,0.2151,0.086,0.0424,-45.1184,37.6158,0.2269,0.3317,4.496,-31.3523,-42.3441,0.0295,0.041,0.1523,0.1207,Barley
20.8359,54.721,42.5653,0.3142,0.0886,-39.8056,0.0478,0.2208,0.8413,0.1856,0.0794,0.0415,-54.0178,38.8491,0.3079,0.3573,3.7532,-25.6936,36.6289,0.026,0.0244,0.1132,0.143,Barley
21.4487,59.929,41.3044,0.2989,0.067,-58.4652,0.0301,0.1667,0.8205,0.1876,0.0723,0.039,-53.5932,46.4591,0.33,0.2638,0.6902,-22.3897,34.2012,0.0267,0.0026,0.1091,0.1605,Barley
19.9674,62.6425,40.089,0.3838,0.1158,-60.0685,0.0306,0.0967,0.7991,0.196,0.0769,0.0342,-68.525,66.6168,0.3007,0.2431,-1.3368,-21.161,32.49,0.0437,0.0216,0.144,0.0979,Barley
